date.month,date.year,date.day,name,links.download.url,links.notes.url,sdks.tvOS[1].number,sdks.tvOS[1].build,sdks.tvOS[1].release.gm,sdks.iOS[1].number,sdks.iOS[1].build,sdks.iOS[1].release.gm,sdks.macOS[1].number,sdks.macOS[1].build,sdks.macOS[1].release.gm,sdks.watchOS[1].number,sdks.watchOS[1].build,sdks.watchOS[1].release.gm,compilers.clang[1].number,compilers.clang[1].build,compilers.clang[1].release.gm,compilers.swift[1].number,compilers.swift[1].build,compilers.swift[1].release.gm,version.number,version.build,version.release.gm,requires,version.release.beta,version.release.gmSeed,compilers.llvm[1].build,compilers.llvm[1].release.gm,sdks.macOS[2].build,sdks.macOS[2].release.gm,version.release.dp,compilers.llvm_gcc[1].number,compilers.llvm_gcc[1].build,compilers.llvm_gcc[1].release.gm,compilers.gcc[1].number,compilers.gcc[1].build,compilers.gcc[1].release.gm,compilers.gcc[2].number,compilers.gcc[2].build,compilers.gcc[2].release.gm,sdks.iOS[2].build,sdks.iOS[2].release.gm,sdks.macOS[3].build,sdks.macOS[3].release.gm,sdks.macOS[2].number,sdks.macOS[3].number
8,2017,7,Xcode,,,,15J5347f,TRUE,,15A5341e,TRUE,,17A330h,TRUE,,15R5345f,TRUE,,,,,,,9,9M202q,,10.12.4,5,,,,,,,,,,,,,,,,,,,,,
7,2017,24,Xcode,,,,15J5333e,TRUE,,15A5327g,TRUE,,17A315g,TRUE,,15R5331f,TRUE,,,,,,,9,9M189t,,10.12.4,4,,,,,,,,,,,,,,,,,,,,,
7,2017,10,Xcode,,,,15J5324e,TRUE,,15A5318e,TRUE,,17A306e,TRUE,,15R5321g,TRUE,,,,,,,9,9M174d,,10.12.4,3,,,,,,,,,,,,,,,,,,,,,
6,2017,21,Xcode,,,,15J5310e,TRUE,,15A5304i,TRUE,,17A291j,TRUE,,15R5307j,TRUE,,,,,,,9,9M137d,,10.12.4,2,,,,,,,,,,,,,,,,,,,,,
6,2017,5,Xcode,,,,15J5284e,TRUE,,15A5278f,TRUE,,17A263z,TRUE,,15R5281f,TRUE,,,,,,,9,9M136h,,10.12.4,1,,,,,,,,,,,,,,,,,,,,,
6,2017,5,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_8.3.3/Xcode8.3.3.xip,https://developer.apple.com/library/content/releasenotes/DeveloperTools/RN-Xcode/Chapters/Introduction.html#//apple_ref/doc/uid/TP40001051-CH1-SW870,,14W260,TRUE,,14E8301,TRUE,,1.60E+186,TRUE,,14V243,TRUE,8.1.0,802.0.42,TRUE,3.1,802.0.53,TRUE,8.3.3,8E3004b,TRUE,10.12,,,,,,,,,,,,,,,,,,,,,,
4,2017,18,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_8.3.2/Xcode8.3.2.xip,https://developer.apple.com/library/content/releasenotes/DeveloperTools/RN-Xcode/Chapters/Introduction.html#//apple_ref/doc/uid/TP40001051-CH1-SW853,,14W260,TRUE,,1.40E+270,TRUE,,1.60E+186,TRUE,,14V243,TRUE,8.1.0,802.0.42,TRUE,3.1,802.0.53,TRUE,8.3.2,8E2002,TRUE,10.12,,,,,,,,,,,,,,,,,,,,,,
4,2017,6,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_8.3.1/Xcode_8.3.1.xip,https://developer.apple.com/library/content/releasenotes/DeveloperTools/RN-Xcode/Chapters/Introduction.html#//apple_ref/doc/uid/TP40001051-CH1-SW848,,14W260,TRUE,,1.40E+270,TRUE,,1.60E+186,TRUE,,14V243,TRUE,8.1.0,802.0.41,TRUE,3.1,802.0.51,TRUE,8.3.1,8E1000a,TRUE,10.12,,,,,,,,,,,,,,,,,,,,,,
3,2017,27,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_8.3/Xcode_8.3.xip,https://developer.apple.com/library/content/releasenotes/DeveloperTools/RN-Xcode/Chapters/Introduction.html#//apple_ref/doc/uid/TP40001051-CH1-SW160,,14W260,TRUE,,1.40E+270,TRUE,,1.60E+186,TRUE,,14V243,TRUE,8.1.0,802.0.38,TRUE,3.1,802.0.48,TRUE,8.3,8.00E+162,TRUE,10.12,,,,,,,,,,,,,,,,,,,,,,
3,2017,21,Xcode,,,,14W260,TRUE,,1.40E+270,TRUE,,1.60E+186,TRUE,,14V243,TRUE,,,,,,,8.3,8.00E+160,,10.12,5,,,,,,,,,,,,,,,,,,,,,
3,2017,8,Xcode,,,,14W5257a,TRUE,,14E5265a,TRUE,,16E181a,TRUE,,14V5239a,TRUE,,,,,,,8.3,8W143q,,10.12,4,,,,,,,,,,,,,,,,,,,,,
2,2017,20,Xcode,,,,14W5241c,TRUE,,14E5249d,TRUE,,16E163c,TRUE,,14V5224d,TRUE,,,,,,,8.3,8W132p,,10.12,3,,,,,,,,,,,,,,,,,,,,,
2,2017,6,Xcode,,,,14W5231c,TRUE,,14E5239d,TRUE,,16E153d,TRUE,,14V5214d,TRUE,,,,,,,8.3,8W120l,,10.12,2,,,,,,,,,,,,,,,,,,,,,
1,2017,24,Xcode,,,,14W5222c,TRUE,,14E5230d,TRUE,,16E144e,TRUE,,14V5205c,TRUE,,,,,,,8.3,8W109m,,10.12,1,,,,,,,,,,,,,,,,,,,,,
12,2016,19,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_8.2.1/Xcode_8.2.1.xip,https://developer.apple.com/library/content/releasenotes/DeveloperTools/RN-Xcode/Chapters/Introduction.html#//apple_ref/doc/uid/TP40001051-CH1-SW157,,14U591,TRUE,,14C89,TRUE,,16C58,TRUE,,14S471a,TRUE,8.0.0,800.0.42.1,TRUE,3.0.2,800.0.63,TRUE,8.2.1,8C1002,TRUE,10.11.5,,,3.9.0,TRUE,,,,,,,,,,,,,,,,,,
12,2016,12,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_8.2/Xcode_8.2.xip,https://developer.apple.com/library/content/releasenotes/DeveloperTools/RN-Xcode/Chapters/Introduction.html#//apple_ref/doc/uid/TP40001051-CH1-SW9,,14U591,TRUE,,14C89,TRUE,,16C58,TRUE,,14S471a,TRUE,8.0.0,800.0.42.1,TRUE,3.0.2,800.0.63,TRUE,8.2,8C38,TRUE,10.11.5,,,3.9.0,TRUE,,,,,,,,,,,,,,,,,,
11,2016,14,Xcode,,,,14U5582a,TRUE,,14C5077a,TRUE,,16C48a,TRUE,,14S471a,TRUE,,,,,,,8.2,8C30a,,10.11.5,2,,,,,,,,,,,,,,,,,,,,,
10,2016,31,Xcode,,,,14U5565c,TRUE,,14C5062c,TRUE,,16C32c,TRUE,,14S471a,TRUE,,,,,,,8.2,8C23,,10.11.5,1,,,,,,,,,,,,,,,,,,,,,
10,2016,27,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_8.1/Xcode_8.1.xip,https://developer.apple.com/library/content/releasenotes/DeveloperTools/RN-Xcode/Chapters/Introduction.html#//apple_ref/doc/uid/TP40001051-CH1-SW24,,14T328,TRUE,,14B72,TRUE,,16B2649,TRUE,,14S471a,TRUE,8.0.0,800.0.42.1,TRUE,3.0.1,800.0.58.6,TRUE,8.1,8B62,TRUE,10.11.5,,,3.9.0,TRUE,,,,,,,,,,,,,,,,,,
10,2016,24,Xcode,,,,14T328,TRUE,,14B72,TRUE,,16A300,TRUE,,14S471a,TRUE,,,,,,,8.1,8T61a,,10.11.5,,1,,,,,,,,,,,,,,,,,,,,
